site_id,site_name,basins,site_number,elev,sec,twp,rng,config,former association,county,quad_map,ownership,status,record,state,longitude,latitude,aws url string
524,Hilts Creek,"Big Lost, Little Lost, Wood and Lost, Central",13E27S,8000,15,8N,25E,SNTL,Little Lost,Custer,Warren Mountain,Challis NF,A,-81,ID,-113.4723,44.019,Hilts%20Creek
530,Hoodoo Basin,"Coeur D'Alene-St. Joe, Clearwater",,6050,,,,SNTL,,,,,,,MT,,,Hoodoo%20Basin
534,Howell Canyon,Raft,13G01S,7980,2,13S,24E,SNTL,Raft,Cassia,Conner Ridge,Sawtooth NF,A,-82,ID,-113.6156,42.3213,Howell%20Canyon
535,Humboldt Gulch,Coeur D'Alene-St. Joe,15B21S,4250,2,48N,5E,SNTL,Coeur d'Alene,Shoshone,Burke,Coeur d'Alene NF,A,-82,ID,-115.7764,47.5318,Humboldt%20Gulch
537,Hyndman,"Big Wood, Wood and Lost, Central",14F16S,7440,2,4N,19E,SNTL,Big Wood,Blaine,Hyndman Peak,Sawtooth NF,A,-82,ID,-114.1589,43.7106,Hyndman
546,Island Park,Henrys Fork-Teton,11E10S,6290,28,13N,43E,SNTL,Henrys Fork,Fremont,Island Park Dam,Targhee NF,A,-82,ID,-111.3851,44.4203,Island%20Park
548,Jack Creek Upper,Owyhee,,7377,,,,SNTL,,,,,,,NV,,,Jack%20Creek%20Upper
549,Jacks Peak,Owyhee,,8424,,,,SNTL,,,,,,,NV,,,Jacks%20Peak
550,Jackson Peak,"Boise, Payette, West Central, Central",15E09S,7070,7,8N,9E,SNTL,North Fork Boise,Boise,Jackson Peak,Boise NF,A,-82,ID,-115.4432,44.0509,Jackson%20Peak
1211,Jakes Creek,Salmon Falls,,7380,,,,SNTL,,,,,,,NV,,,Jakes%20Creek
554,Kelley R.S.,Bear,,8180,,,,SNTL,,,,,,,WY,,,Kelley%20R.S.
1115,Klondike Narrows,Bear,,7250,,,,SNTL,,,,,,,UT,,,Klondike%20Narrows
568,Lakeview Ridge,"Birch, Wood and Lost",,7400,,,,SNTL,,,,,,,MT,,,Lakeview%20Ridge
573,Laurel Draw,Owyhee,,6682,,,,SNTL,,,,,,,NV,,,Laurel%20Draw
576,Lemhi Ridge,Salmon,,8100,,,,SNTL,,,,,,,MT,,,Lemhi%20Ridge
577,Lewis Lake Divide,"Snake Above Palisades, Snake Above Jackson Lake",,7850,,,,SNTL,,,,,,,WY,,,Lewis%20Lake%20Divide
579,Lily Lake,Bear,,9133,,,,SNTL,,,,,,,UT,,,Lily%20Lake
588,Lolo Pass,Clearwater,14C05S,5240,16,38N,15E,SNTL,Lochsa,Idaho,Lolo Hot Springs,Clearwater NF,A,-84,ID,-114.5807,46.6512,Lolo%20Pass
1016,Long Valley,"Payette, West Central, Central",16E18S,4890,28,17N,3E,SNTL,Payette,Valley,Lake Fork,Private,A,-2,ID,-116.0888,44.7884,Long%20Valley
594,Lookout,Coeur D'Alene-St. Joe,15B02S,5140,4,47N,6E,SNTL,Coeur d'Alene,Shoshone,Lookout Pass,Coeur d'Alene NF,A,-83,ID,-115.7058,47.4579,Lookout
597,Loomis Park,Snake Above Palisades,,8240,,,,SNTL,,,,,,,WY,,,Loomis%20Park
600,Lost Lake,"Coeur D'Alene-St. Joe, Clearwater",15B14S,6110,9,43N,4E,SNTL,North Fork Clearwater,Shoshone,Widow Montain,BLM,A,-83,ID,-115.9607,47.081,Lost%20Lake
601,Lost-Wood Divide,"Big Wood, Big Lost, Wood and Lost, Central",14F03S,7900,25,6N,18E,SNTL,Big Lost,Blaine,Rock Roll Canyon,Sawtooth NF,A,-82,ID,-114.264,43.8243,Lost-Wood%20Divide
610,Magic Mountain,"Salmon Falls, Goose Creek",14G02S,6880,25,14S,18E,SNTL,Salmon Falls,Twin Falls,Pike Mountain,Sawtooth NF,A,-82,ID,-114.2866,42.1807,Magic%20Mountain
620,Meadow Lake,Little Lost,13E18S,9150,23,13N,26E,SNTL,Lemhi,Lemhi,Gilmore,Salmon NF,A,-82,ID,-113.3182,44.4366,Meadow%20Lake
1207,Merritt Mountain,"Owyhee, Bruneau",,6915,,,,SNTL,,,,,,,NV,,,Merritt%20Mountain
623,Mica Creek,Coeur D'Alene-St. Joe,16B14S,4750,19,44N,2E,SNTL,St. Joe,Shoshone,Crystal Peak,Private,A,-90,ID,-116.2666,47.1505,Mica%20Creek
627,Mill Creek Summit,"Salmon, Central",14E01S,8800,8,13N,17E,SNTL,Salmon,Custer,Bayhorse Lake,Challis NF,A,-82,ID,-114.4899,44.4721,Mill%20Creek%20Summit
634,Monte Cristo,Bear,,8932,,,,SNTL,,,,,,,UT,,,Monte%20Cristo
